"id_fotos","link_foto","titulo"
1,assets/imagens/enviados/20168231668.JPG,Doadoras
2,assets/imagens/enviados/201682316626.JPG,Doadoras
3,assets/imagens/enviados/201682316644.JPG,Doadoras
4,assets/imagens/enviados/20168231670.JPG,Doadoras
5,assets/imagens/enviados/201682316716.JPG,Doadoras
6,assets/imagens/enviados/2016823144316.JPG,""
7,assets/imagens/enviados/2016823144349.JPG,""
8,assets/imagens/enviados/201682314460.JPG,""
9,assets/imagens/enviados/2016823144515.JPG,""
10,assets/imagens/enviados/2016823144428.JPG,""
11,assets/imagens/enviados/2016823143953.JPG,""
12,assets/imagens/enviados/201682314426.JPG,""
13,assets/imagens/enviados/201681918125.jpg,""
14,assets/imagens/enviados/2016823144034.JPG,""
15,assets/imagens/enviados/201682314418.JPG,""
16,assets/imagens/enviados/2016823144655.JPG,""
17,assets/imagens/enviados/2016819181320.jpg,""
18,assets/imagens/enviados/2016823144227.JPG,""
19,assets/imagens/enviados/nelore_agurafria_abs_pecplan.jpeg,"&quot;O criador João Guimarães, gestor da Nelore Água Fria, comanda um dos maiores projetos de utilização de embriões para a produção de touros no Norte do país, com mais de mil prenhezes produzidas em cada estação de monta. Já são quase 50 anos dedicados ao melhoramento genético no Pará. Na foto, João Guimarães acompanhado do gerente de negócios Embriões da ABS, Emerson Faria. Desde 2013, a ABS contribui com o melhor da sua genética para promover a evolução de um dos rebanhos Nelore mais representativos da região.&quot; <a href='https://www.instagram.com/p/Bqjxx6kn_95/'></strong>(ABS Pecplan)</strong></a>

"
